Index,Overall,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
28,88,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,89,81,87,52,41,44
29,88,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22
30,88,75,79,55,89,65,94,88,76,83,95,75,69,87,77,90,69,64,70,59,87,58,64,78,89,76,86,60,64,51
31,88,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22
32,88,79,79,48,88,75,91,91,86,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,70,85,55,54,47
33,88,77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,76,86,27,25,36
34,88,64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88
35,88,90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,71,85,86
36,88,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52
38,88,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18
39,88,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,81,88,89,85
42,87,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86
43,87,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20
44,87,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86
45,87,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68
47,87,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30
48,87,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32
49,87,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85
50,87,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40
51,87,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88
52,87,78,79,74,88,79,86,80,72,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,86,70,84,75,73,62
53,87,84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70
54,87,57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,69,86,91,86,84
55,86,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35
56,86,85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,68,85,49,44,35
58,86,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38
59,86,53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,62,83,88,89,84
60,86,77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,69,77,47,58,54
61,86,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42
62,86,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87
63,86,72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80
64,86,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84
65,86,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34
66,86,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44
67,86,72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,75,85,67,63,65
68,86,79,87,49,86,90,87,89,84,75,86,86,85,86,87,81,88,70,73,67,86,49,50,88,86,89,84,47,36,45
69,86,81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86
70,86,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80
71,86,64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,58,81,90,91,86
72,86,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70
73,86,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85
74,86,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19
75,86,68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,61,79,85,85,80
76,86,77,70,54,90,74,90,80,70,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,93,71,89,67,57,56
77,85,40,42,80,70,40,59,34,30,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,57,56,80,92,88,82
78,85,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72
79,85,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39
80,85,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,81,89,31,37,25
82,85,90,66,74,85,61,80,81,61,80,85,78,68,84,85,83,75,79,85,65,69,74,79,80,79,44,82,75,81,79
83,85,69,78,83,85,76,83,72,60,83,85,74,73,76,82,69,78,79,86,77,79,69,78,82,82,55,83,77,79,76
84,85,81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,73,86,45,31,18
85,85,81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,80,79,80,82,80
86,85,86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,59,78,80,69,51
87,85,64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,84,85,29,42,30
88,85,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89
89,85,52,54,85,75,57,51,50,39,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,53,45,80,83,85,84
90,85,84,79,61,90,72,78,89,90,87,84,51,43,66,78,72,78,51,78,72,82,58,81,81,86,83,78,69,68,60
91,85,64,81,85,84,75,82,66,72,80,84,73,73,69,84,66,83,90,92,81,80,81,81,84,78,71,80,75,81,73
93,85,77,80,73,77,83,87,79,78,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,82,77,84,38,44,35
94,85,79,76,46,79,73,93,84,78,72,86,87,75,92,84,87,69,72,85,49,76,46,38,83,79,75,90,51,36,25
95,85,69,34,85,75,52,64,53,31,83,70,67,72,56,82,52,78,74,69,91,58,81,81,47,75,46,84,84,87,87
96,85,76,75,82,83,78,76,76,68,79,82,60,55,74,84,75,86,85,83,79,85,93,84,80,80,81,81,82,87,86
97,85,83,79,80,81,81,84,73,75,77,85,84,88,78,81,74,84,84,89,78,79,65,69,85,79,76,80,64,52,54
98,85,63,89,84,77,77,76,65,54,72,84,65,66,57,83,36,86,66,76,80,79,51,50,89,74,67,83,58,28,16
99,85,72,72,76,85,78,81,68,68,82,84,54,60,55,87,54,82,68,78,87,78,82,86,79,82,69,84,80,83,76
100,85,65,87,82,65,81,77,62,59,52,83,74,76,58,85,53,83,64,76,92,74,93,40,87,74,75,83,58,39,34
101,85,73,75,59,84,75,80,73,68,81,85,78,73,76,87,82,84,76,93,77,86,88,86,86,76,63,84,83,86,90
102,85,45,57,94,76,60,60,52,76,70,68,60,65,46,85,36,92,45,61,83,82,72,83,53,59,60,84,86,88,85
103,85,75,64,68,83,72,78,65,52,77,79,79,77,83,84,79,78,84,94,76,70,86,86,72,76,56,82,85,84,86
104,85,48,43,80,70,51,67,32,39,69,73,66,69,61,81,57,70,82,65,79,41,83,85,43,58,49,81,90,90,85
105,85,75,81,80,83,82,83,79,73,62,86,76,76,76,83,66,81,73,75,80,75,65,22,86,85,82,79,47,15,12
106,85,86,59,72,80,56,77,74,75,77,83,76,75,75,85,62,71,71,89,74,60,81,84,71,70,65,88,78,84,86
107,85,61,45,84,73,46,63,61,52,66,70,52,59,57,87,41,75,72,66,87,55,87,82,41,59,63,81,87,85,84
108,85,46,46,80,70,23,58,44,47,61,62,65,70,63,83,49,63,76,60,86,56,94,85,40,48,57,79,86,85,82
109,85,73,86,83,79,86,79,82,82,73,84,58,59,75,82,39,90,68,61,86,82,84,20,85,79,89,90,28,37,24
110,84,36,40,80,77,28,63,30,27,67,73,72,79,60,80,55,66,73,76,83,44,87,82,34,49,44,75,84,85,88
111,84,47,37,81,68,30,47,36,44,58,56,69,70,56,76,43,72,92,67,85,48,89,85,24,27,38,73,88,86,87
112,84,89,65,74,83,67,82,87,79,86,82,84,85,73,83,70,80,81,92,68,75,78,80,76,74,68,80,80,81,79
113,84,58,45,85,76,40,59,61,69,78,73,62,66,45,83,55,68,75,67,82,47,75,85,54,57,44,77,85,86,87
114,84,84,73,58,85,84,83,85,81,82,85,79,76,77,84,78,87,72,89,67,88,65,70,79,86,81,83,63,66,53
115,84,30,20,86,78,31,42,28,30,63,63,52,84,33,79,33,77,38,65,94,62,82,82,26,30,32,72,82,85,83
116,84,76,84,69,77,74,87,84,54,60,86,88,89,85,81,81,84,74,75,75,80,58,42,83,73,81,79,38,39,36
117,84,69,83,77,85,79,83,75,68,80,85,73,76,76,85,62,78,67,90,71,80,84,74,86,85,74,86,70,70,63
118,84,79,66,75,83,47,76,71,53,78,82,69,72,69,83,67,78,75,92,79,65,85,84,70,75,91,84,83,86,84
119,84,72,33,80,81,31,59,49,32,78,76,73,76,69,81,68,53,86,75,74,35,80,84,46,51,31,79,85,87,87
120,84,68,52,73,84,50,80,79,50,86,79,49,53,51,75,51,59,69,84,90,55,75,84,64,83,60,89,84,85,68
121,84,75,57,56,89,71,82,75,76,87,85,75,69,80,83,73,71,58,79,66,62,79,78,72,87,84,79,63,78,70
122,84,83,81,75,83,74,85,86,72,76,86,87,80,86,83,71,83,76,83,66,82,56,42,83,80,74,82,46,29,31
123,84,83,41,70,81,34,76,72,47,71,83,79,84,81,82,79,64,76,84,74,36,81,83,61,57,45,77,83,83,85
124,84,79,79,65,80,74,85,85,88,74,85,87,87,82,79,79,87,74,79,80,81,76,28,83,82,75,79,29,31,20
125,84,78,85,65,79,79,88,81,70,64,85,88,87,82,84,76,86,63,85,63,88,60,39,85,80,71,82,48,34,33
127,84,49,25,80,71,27,63,45,16,71,71,67,69,61,80,59,65,76,66,80,60,78,87,32,59,41,82,88,87,83
129,84,80,67,58,80,70,90,78,69,69,85,89,93,91,80,82,84,75,78,61,80,78,62,78,76,65,80,63,70,74
130,84,80,88,78,79,83,86,80,76,64,85,85,78,87,85,74,79,68,75,60,82,63,39,86,75,82,85,39,21,18
132,84,71,64,74,84,73,80,72,67,83,79,52,59,44,83,50,83,67,84,85,75,80,86,69,73,64,84,83,84,75
134,84,68,72,51,86,58,78,76,68,82,83,66,57,71,84,75,69,63,77,68,76,76,87,79,86,50,79,69,83,80
135,84,81,51,74,78,57,79,76,71,67,78,86,93,67,83,72,86,83,89,75,69,78,81,67,69,63,75,78,84,83
136,84,74,73,50,88,75,85,81,74,83,86,67,68,78,85,78,77,61,69,72,73,70,77,79,86,76,87,73,68,64
137,84,82,78,65,80,84,82,73,65,51,85,88,89,85,82,80,78,73,91,55,80,54,40,88,78,62,79,64,32,32
138,84,83,72,51,82,77,86,84,82,79,85,85,84,92,80,77,83,72,73,60,77,73,38,82,82,73,82,35,59,56
139,84,72,84,90,75,86,76,64,49,67,77,67,73,67,86,53,80,85,83,85,60,88,66,90,74,76,80,59,64,64
140,84,76,77,31,80,59,88,82,83,77,84,91,86,89,82,79,79,41,85,60,81,44,55,80,83,70,79,43,57,51
142,84,80,66,49,88,65,84,83,81,87,86,68,64,79,77,83,74,57,74,67,78,73,76,75,88,78,80,75,69,64
143,84,69,71,80,89,77,78,69,68,79,84,67,74,78,84,60,78,76,86,82,74,82,80,75,79,81,89,80,79,85
144,84,87,78,59,84,77,86,90,84,80,90,75,72,79,75,80,80,48,73,72,82,57,37,79,87,74,82,32,36,39
145,84,70,88,84,76,85,84,85,77,75,88,65,64,77,85,69,84,69,66,63,85,61,34,87,83,84,87,31,36,25
146,84,47,44,85,60,46,58,29,35,51,58,64,73,60,81,64,77,86,69,86,48,88,77,49,45,24,82,85,87,85
148,84,55,86,89,79,84,75,83,73,58,82,69,66,76,85,75,79,91,68,75,80,75,41,88,70,81,87,39,42,19
150,84,38,27,77,74,31,59,53,45,72,71,54,53,53,82,56,65,77,55,82,53,81,86,30,57,37,75,89,87,85
151,84,82,76,38,82,72,89,79,79,74,87,94,86,92,83,94,76,70,75,48,79,56,40,81,85,72,84,50,30,34
152,84,40,21,72,65,35,64,50,31,65,65,61,77,52,80,64,54,81,53,83,39,66,90,28,62,60,88,94,90,82
153,84,92,67,41,79,80,89,94,73,75,88,84,82,91,78,84,79,63,65,55,80,74,24,78,84,74,80,29,17,13
154,84,80,85,51,82,86,89,90,81,71,88,83,76,87,85,90,86,60,64,67,86,47,37,84,80,78,85,30,26,26
155,83,78,78,43,78,76,90,78,64,70,83,93,92,90,82,85,83,59,73,46,70,54,36,79,84,75,75,42,30,33
156,83,66,84,74,76,72,86,76,54,66,85,87,85,92,86,91,78,77,84,68,73,73,32,88,77,78,82,53,23,19
157,83,83,74,64,83,76,85,86,78,82,83,88,87,85,84,76,82,64,86,70,78,62,40,82,83,77,81,24,35,33
158,83,40,38,83,74,44,56,45,49,61,70,83,78,77,85,68,53,69,76,73,41,88,84,38,42,56,71,85,87,82
159,83,56,85,83,73,82,75,59,67,47,74,79,83,55,84,55,85,84,56,87,82,65,32,83,58,77,79,26,27,24
160,83,62,31,79,79,33,58,50,32,75,78,75,78,74,79,65,55,77,80,84,39,85,83,39,60,50,80,80,83,83
161,83,62,74,42,88,71,88,64,70,78,88,78,60,89,82,90,76,53,82,58,73,78,75,74,81,58,79,68,62,61
162,83,67,75,82,84,62,77,66,73,86,81,75,66,75,83,74,82,90,87,77,81,81,76,79,80,70,74,75,78,71
163,83,83,75,54,84,78,85,85,81,75,86,86,84,87,80,86,79,71,79,63,76,63,66,77,85,68,80,55,59,63
164,83,81,76,52,77,77,88,84,70,63,83,95,93,87,81,84,77,75,76,61,73,36,23,79,75,70,75,29,17,15
165,83,35,20,80,74,24,55,30,27,69,64,64,77,48,82,44,44,72,63,93,25,76,80,27,61,38,75,80,88,84
166,83,78,80,77,81,76,82,86,87,79,84,77,76,76,79,65,84,58,76,72,88,67,58,86,81,71,74,55,62,42
167,83,69,87,76,77,82,83,62,56,55,84,93,93,81,86,76,74,78,83,59,67,63,37,85,61,72,74,39,20,19
168,83,70,69,77,85,72,79,73,59,83,83,73,74,79,83,72,80,73,82,80,79,76,80,76,80,69,82,70,81,75
169,83,75,72,75,84,68,81,76,75,79,83,84,79,76,83,70,77,67,86,70,78,80,83,77,82,60,80,70,79,78
170,83,79,86,60,78,69,84,75,76,73,82,90,91,87,82,79,82,82,83,61,83,60,33,79,81,74,78,36,30,32
171,83,84,68,53,86,77,83,90,78,89,83,76,74,85,82,78,80,38,86,59,75,71,62,75,88,73,83,52,66,36
172,83,86,73,52,83,54,82,82,75,75,83,84,79,79,85,84,82,68,90,57,80,65,44,81,83,56,75,42,50,44
173,83,78,79,53,77,68,88,81,78,71,87,89,87,88,83,71,84,68,74,59,75,61,18,81,71,74,75,58,39,26
174,83,61,83,80,78,79,78,71,56,56,81,77,80,70,82,69,81,72,72,74,77,55,40,83,58,73,72,43,41,41
175,83,45,39,81,74,44,57,32,30,67,62,60,67,52,77,57,46,90,78,86,41,92,81,34,50,47,75,85,85,79
176,83,73,62,42,87,76,88,78,68,82,89,84,74,81,70,85,79,63,82,65,75,77,78,69,88,59,72,69,75,63
178,83,72,71,74,86,63,80,80,69,83,83,68,65,76,82,72,81,77,77,63,80,71,69,77,84,65,73,70,73,60
179,83,74,81,46,79,83,87,64,62,68,83,92,90,87,80,88,85,64,68,68,81,63,38,80,74,68,74,45,48,45
181,83,35,34,85,72,27,47,34,28,69,68,55,61,61,82,49,43,87,58,77,31,83,84,29,41,37,75,86,83,84
182,83,62,29,83,81,27,69,47,29,74,80,67,71,61,82,59,46,75,79,77,38,79,81,48,67,44,80,85,85,82
183,83,84,70,50,86,72,88,87,80,75,89,83,77,86,78,84,78,50,77,56,87,23,20,76,84,72,76,50,23,18
184,83,83,78,65,84,84,88,78,76,79,89,78,77,80,83,75,86,75,69,66,82,48,66,79,84,63,83,39,64,44
185,83,79,71,44,80,68,90,71,69,74,88,93,89,89,74,88,83,38,72,53,84,67,69,73,79,53,82,47,60,54
186,83,75,78,50,77,70,88,69,74,74,81,94,90,94,76,90,79,77,75,59,76,72,50,80,74,74,80,31,43,51
187,83,50,61,78,82,55,76,48,53,79,78,63,68,58,76,60,76,67,83,89,65,85,84,69,73,52,84,83,84,75
188,83,70,32,82,80,38,55,55,37,61,78,70,79,60,79,68,54,81,78,79,28,78,81,37,53,45,73,75,86,85
190,83,70,72,59,85,56,82,65,49,77,80,81,74,82,86,80,70,70,95,77,66,87,86,79,79,53,79,85,85,83
191,83,25,37,80,73,39,65,62,56,77,72,65,55,33,81,35,75,68,81,83,60,73,85,20,65,72,85,87,87,85
192,83,85,63,72,86,50,78,74,60,78,83,78,79,69,80,74,65,47,85,69,66,68,81,69,83,57,76,75,83,83
193,83,72,78,80,78,77,82,83,67,58,82,88,91,84,80,77,83,78,78,72,76,60,31,83,74,77,77,44,41,40
194,83,79,76,45,83,77,80,83,76,84,82,82,73,77,81,77,75,67,86,59,78,68,70,84,85,76,85,66,66,52
195,83,72,63,34,84,68,86,78,75,79,84,84,71,91,84,80,69,67,88,47,73,64,75,73,82,64,83,65,64,59
198,83,60,50,69,80,32,75,33,61,72,79,76,72,80,81,80,80,87,89,70,66,84,87,67,67,54,80,84,89,84
199,83,77,74,53,80,81,84,83,64,71,86,84,78,87,79,85,85,69,83,62,73,69,64,82,84,72,76,41,53,55
200,83,85,68,83,84,70,79,85,86,73,83,69,76,64,84,58,84,71,90,76,77,75,79,79,69,64,76,79,82,79
202,83,29,27,85,63,17,51,35,26,59,59,50,52,34,78,51,57,81,67,90,20,86,83,24,23,39,79,82,85,82
203,83,74,68,68,87,63,75,75,70,84,84,65,66,65,83,68,81,53,79,81,70,86,83,78,79,77,85,75,84,75
204,83,38,87,94,73,85,68,61,30,37,74,49,54,32,85,32,82,51,82,92,72,70,39,89,68,88,81,38,45,26
205,83,74,76,54,86,63,78,77,75,82,84,75,72,86,81,80,80,64,76,38,77,43,45,79,83,68,75,66,52,47
206,83,68,85,67,78,78,81,78,78,66,85,76,82,71,68,50,89,74,66,86,79,70,30,79,74,92,81,10,22,20
207,83,63,48,72,79,54,68,42,60,77,73,65,64,65,83,62,80,76,85,81,73,88,83,53,69,58,79,82,84,86
208,83,77,79,59,82,65,84,67,71,79,84,85,79,85,81,85,78,61,82,74,76,71,42,81,80,79,82,49,43,38
209,83,68,55,81,77,63,66,70,76,77,79,59,62,69,75,56,79,78,66,79,73,85,85,54,69,75,77,79,83,82
211,83,83,78,56,85,71,82,84,86,79,88,69,62,84,85,89,75,70,71,37,72,50,39,83,85,81,87,42,31,21
215,83,60,43,87,77,58,60,46,45,74,74,49,53,53,83,48,76,85,74,84,62,90,87,51,75,52,80,85,86,86
216,83,69,59,78,79,57,72,49,47,74,75,66,67,65,83,63,74,77,86,76,71,79,86,69,76,52,83,88,86,82
217,83,63,62,72,82,59,77,74,47,81,78,67,67,78,82,80,77,82,80,67,66,80,87,66,81,61,86,82,82,78
219,83,85,72,74,90,81,79,78,81,89,85,56,54,62,81,75,77,63,56,61,70,45,50,72,91,78,92,64,59,58
220,83,65,66,70,86,73,89,65,55,80,89,72,72,79,83,76,81,75,70,89,70,79,82,70,80,63,90,75,82,70
221,83,80,74,41,83,79,84,83,81,74,87,78,78,84,83,90,75,34,58,60,71,51,33,77,84,78,85,31,25,26
223,83,57,50,81,81,74,64,62,71,80,77,63,67,64,80,72,81,77,74,81,72,84,87,55,71,75,87,90,82,80
226,82,57,53,81,75,40,65,48,55,72,73,62,72,56,77,59,79,80,74,87,64,79,79,44,63,40,77,84,84,79
227,82,63,64,75,83,59,77,65,54,80,82,70,66,69,79,72,70,69,86,75,76,63,80,75,83,46,78,71,80,74
228,82,70,72,58,85,63,82,68,60,80,83,68,70,79,81,86,76,83,78,62,74,73,75,77,82,69,84,65,76,70
230,82,61,53,70,82,57,77,54,57,78,76,80,81,72,80,80,60,43,93,68,59,75,82,58,77,77,81,83,86,80
231,82,40,56,83,67,63,60,72,58,58,64,68,74,61,78,63,74,91,76,79,61,86,82,58,50,62,70,77,85,84
233,82,81,66,51,78,74,85,82,60,55,83,95,94,94,83,92,72,65,87,48,69,60,43,82,79,66,85,54,46,36
234,82,76,75,60,77,71,86,76,70,68,81,89,90,85,80,78,81,65,81,62,77,67,50,77,77,69,80,24,34,30
235,82,74,50,55,83,65,78,66,76,77,81,81,74,83,79,93,78,52,85,66,74,85,87,65,74,48,78,84,84,75
236,82,79,75,57,82,71,85,77,81,73,85,87,82,92,80,84,85,58,74,64,85,53,26,79,83,68,78,21,28,17
238,82,78,42,83,80,38,65,53,28,63,79,80,84,70,80,67,62,83,82,76,47,86,81,57,61,34,76,76,83,86
239,82,36,23,78,78,24,60,25,27,69,76,72,73,62,79,60,58,79,73,80,35,80,82,47,60,43,74,85,82,81
240,82,75,86,69,79,84,87,79,74,53,86,78,72,82,81,82,82,69,76,68,80,73,21,84,66,88,79,35,20,26
241,82,86,57,63,76,32,76,74,30,68,78,81,86,78,81,74,67,59,89,66,60,78,80,66,74,55,73,80,81,78
242,82,55,51,46,86,52,66,61,57,81,81,53,35,67,72,72,74,65,88,75,58,88,82,60,76,58,71,72,81,77
243,82,82,70,50,82,74,86,82,80,72,87,83,83,85,80,79,82,49,80,63,82,52,66,78,80,72,83,65,46,42
244,82,77,78,42,82,66,87,72,59,69,85,78,84,82,80,78,80,63,73,69,78,42,29,78,83,54,69,38,20,24
245,82,40,33,80,65,35,64,45,25,59,65,56,67,59,78,53,58,81,67,79,39,72,86,28,50,36,70,87,86,82
246,82,81,77,43,80,58,85,78,75,77,83,85,86,83,82,78,78,63,55,50,73,48,50,81,81,59,71,45,43,25
247,82,85,58,64,78,62,84,83,69,75,83,91,91,78,82,74,80,73,89,66,66,73,77,78,74,46,77,79,79,79
248,82,36,30,76,70,28,65,36,24,69,69,63,69,60,78,53,64,78,75,81,46,84,85,31,40,34,76,88,85,81
249,82,58,63,68,85,53,78,62,58,79,81,73,76,72,77,53,79,84,87,81,75,76,79,60,73,46,75,80,83,80
250,82,67,74,55,85,70,79,70,72,80,86,77,79,84,82,87,76,83,87,61,76,73,80,69,76,65,82,76,78,69
251,82,64,85,69,65,82,76,60,57,48,76,89,91,75,88,76,85,76,86,67,67,92,49,85,72,81,82,56,52,51
252,82,42,88,84,68,80,78,64,56,42,75,78,79,79,76,75,81,83,83,84,67,83,31,85,61,77,75,55,23,32
253,82,84,70,45,85,67,82,81,77,69,87,76,70,81,82,82,73,53,74,62,74,62,43,75,83,66,77,35,26,17
254,82,74,78,64,78,70,83,80,63,66,83,84,82,86,83,86,80,63,87,53,80,73,53,86,82,65,84,65,50,44
255,82,73,74,68,84,81,86,79,68,78,87,58,62,69,78,39,76,44,61,79,84,78,54,77,84,67,80,46,40,37
